cellI,x,y,z,S,Ux,Uy,Uz
0,0.000125,0,0.000125,6.25e-08,0,0,0
1,0.000375,0,0.000125,6.25e-08,0,0,0
2,0.000625,0,0.000125,6.25e-08,0,0,0
3,0.000875,0,0.000125,6.25e-08,0,0,0
4,0.001125,0,0.000125,6.25e-08,0,0,0
5,0.001375,0,0.000125,6.25e-08,0,0,0
6,0.001625,0,0.000125,6.25e-08,0,0,0
7,0.001875,0,0.000125,6.25e-08,0,0,0
8,0.002125,0,0.000125,6.25e-08,0,0,0
9,0.002375,0,0.000125,6.25e-08,0,0,0
10,0.002625,0,0.000125,6.25e-08,0,0,0
11,0.002875,0,0.000125,6.25e-08,0,0,0
12,0.003125,0,0.000125,6.25e-08,0,0,0
13,0.003375,0,0.000125,6.25e-08,0,0,0
14,0.003625,0,0.000125,6.25e-08,0,0,0
15,0.003875,0,0.000125,6.25e-08,0,0,0
16,0.004125,0,0.000125,6.25e-08,0,0,0
17,0.004375,0,0.000125,6.25e-08,0,0,0
18,0.004625,0,0.000125,6.25e-08,0,0,0
19,0.004875,0,0.000125,6.25e-08,0,0,0
20,0.005125,0,0.000125,6.25e-08,0,0,0
21,0.005375,0,0.000125,6.25e-08,0,0,0
22,0.005625,0,0.000125,6.25e-08,0,0,0
23,0.005875,0,0.000125,6.25e-08,0,0,0
24,0.006125,0,0.000125,6.25e-08,0,0,0
25,0.006375,0,0.000125,6.25e-08,0,0,0
26,0.006625,0,0.000125,6.25e-08,0,0,0
27,0.006875,0,0.000125,6.25e-08,0,0,0
28,0.007125,0,0.000125,6.25e-08,0,0,0
29,0.007375,0,0.000125,6.25e-08,0,0,0
30,0.007625,0,0.000125,6.25e-08,0,0,0
31,0.007875,0,0.000125,6.25e-08,0,0,0
32,0.008125,0,0.000125,6.25e-08,0,0,0
33,0.008375,0,0.000125,6.25e-08,0,0,0
34,0.008625,0,0.000125,6.25e-08,0,0,0
35,0.008875,0,0.000125,6.25e-08,0,0,0
36,0.009125,0,0.000125,6.25e-08,0,0,0
37,0.009375,0,0.000125,6.25e-08,0,0,0
38,0.009625,0,0.000125,6.25e-08,0,0,0
39,0.009875,0,0.000125,6.25e-08,0,0,0
40,0.010125,0,0.000125,6.25e-08,0,0,0
41,0.010375,0,0.000125,6.25e-08,0,0,0
42,0.010625,0,0.000125,6.25e-08,0,0,0
43,0.010875,0,0.000125,6.25e-08,0,0,0
44,0.011125,0,0.000125,6.25e-08,0,0,0
45,0.011375,0,0.000125,6.25e-08,0,0,0
46,0.011625,0,0.000125,6.25e-08,0,0,0
47,0.011875,0,0.000125,6.25e-08,0,0,0
48,0.012125,0,0.000125,6.25e-08,0,0,0
49,0.012375,0,0.000125,6.25e-08,0,0,0
50,0.012625,0,0.000125,6.25e-08,0,0,0
51,0.012875,0,0.000125,6.25e-08,0,0,0
52,0.013125,0,0.000125,6.25e-08,0,0,0
53,0.013375,0,0.000125,6.25e-08,0,0,0
54,0.013625,0,0.000125,6.25e-08,0,0,0
55,0.013875,0,0.000125,6.25e-08,0,0,0
56,0.014125,0,0.000125,6.25e-08,0,0,0
57,0.014375,0,0.000125,6.25e-08,0,0,0
58,0.014625,0,0.000125,6.25e-08,0,0,0
59,0.014875,0,0.000125,6.25e-08,0,0,0
60,0.015125,0,0.000125,6.25e-08,0,0,0
61,0.015375,0,0.000125,6.25e-08,0,0,0
62,0.015625,0,0.000125,6.25e-08,0,0,0
63,0.015875,0,0.000125,6.25e-08,0,0,0
64,0.016125,0,0.000125,6.25e-08,0,0,0
65,0.016375,0,0.000125,6.25e-08,0,0,0
66,0.016625,0,0.000125,6.25e-08,0,0,0
67,0.016875,0,0.000125,6.25e-08,0,0,0
68,0.017125,0,0.000125,6.25e-08,0,0,0
69,0.017375,0,0.000125,6.25e-08,0,0,0
70,0.017625,0,0.000125,6.25e-08,0,0,0
71,0.017875,0,0.000125,6.25e-08,0,0,0
72,0.018125,0,0.000125,6.25e-08,0,0,0
73,0.018375,0,0.000125,6.25e-08,0,0,0
74,0.018625,0,0.000125,6.25e-08,0,0,0
75,0.018875,0,0.000125,6.25e-08,0,0,0
76,0.019125,0,0.000125,6.25e-08,0,0,0
77,0.019375,0,0.000125,6.25e-08,0,0,0
78,0.019625,0,0.000125,6.25e-08,0,0,0
79,0.019875,0,0.000125,6.25e-08,0,0,0
80,0.020125,0,0.000125,6.25e-08,0,0,0
81,0.020375,0,0.000125,6.25e-08,0,0,0
82,0.020625,0,0.000125,6.25e-08,0,0,0
83,0.020875,0,0.000125,6.25e-08,0,0,0
84,0.021125,0,0.000125,6.25e-08,0,0,0
85,0.021375,0,0.000125,6.25e-08,0,0,0
86,0.021625,0,0.000125,6.25e-08,0,0,0
87,0.021875,0,0.000125,6.25e-08,0,0,0
88,0.022125,0,0.000125,6.25e-08,0,0,0
89,0.022375,0,0.000125,6.25e-08,0,0,0
90,0.022625,0,0.000125,6.25e-08,0,0,0
91,0.022875,0,0.000125,6.25e-08,0,0,0
92,0.023125,0,0.000125,6.25e-08,0,0,0
93,0.023375,0,0.000125,6.25e-08,0,0,0
94,0.023625,0,0.000125,6.25e-08,0,0,0
95,0.023875,0,0.000125,6.25e-08,0,0,0
96,0.024125,0,0.000125,6.25e-08,0,0,0
97,0.024375,0,0.000125,6.25e-08,0,0,0
98,0.024625,0,0.000125,6.25e-08,0,0,0
99,0.024875,0,0.000125,6.25e-08,0,0,0
36000,0.125125,0,0.000125,6.25e-08,0,0,0
36001,0.125375,0,0.000125,6.25e-08,0,0,0
36002,0.125625,0,0.000125,6.25e-08,0,0,0
36003,0.125875,0,0.000125,6.25e-08,0,0,0
36004,0.126125,0,0.000125,6.25e-08,0,0,0
36005,0.126375,0,0.000125,6.25e-08,0,0,0
36006,0.126625,0,0.000125,6.25e-08,0,0,0
36007,0.126875,0,0.000125,6.25e-08,0,0,0
36008,0.127125,0,0.000125,6.25e-08,0,0,0
36009,0.127375,0,0.000125,6.25e-08,0,0,0
36010,0.127625,0,0.000125,6.25e-08,0,0,0
36011,0.127875,0,0.000125,6.25e-08,0,0,0
36012,0.128125,0,0.000125,6.25e-08,0,0,0
36013,0.128375,0,0.000125,6.25e-08,0,0,0
36014,0.128625,0,0.000125,6.25e-08,0,0,0
36015,0.128875,0,0.000125,6.25e-08,0,0,0
36016,0.129125,0,0.000125,6.25e-08,0,0,0
36017,0.129375,0,0.000125,6.25e-08,0,0,0
36018,0.129625,0,0.000125,6.25e-08,0,0,0
36019,0.129875,0,0.000125,6.25e-08,0,0,0
36020,0.130125,0,0.000125,6.25e-08,0,0,0
36021,0.130375,0,0.000125,6.25e-08,0,0,0
36022,0.130625,0,0.000125,6.25e-08,0,0,0
36023,0.130875,0,0.000125,6.25e-08,0,0,0
36024,0.131125,0,0.000125,6.25e-08,0,0,0
36025,0.131375,0,0.000125,6.25e-08,0,0,0
36026,0.131625,0,0.000125,6.25e-08,0,0,0
36027,0.131875,0,0.000125,6.25e-08,0,0,0
36028,0.132125,0,0.000125,6.25e-08,0,0,0
36029,0.132375,0,0.000125,6.25e-08,0,0,0
36030,0.132625,0,0.000125,6.25e-08,0,0,0
36031,0.132875,0,0.000125,6.25e-08,0,0,0
36032,0.133125,0,0.000125,6.25e-08,0,0,0
36033,0.133375,0,0.000125,6.25e-08,0,0,0
36034,0.133625,0,0.000125,6.25e-08,0,0,0
36035,0.133875,0,0.000125,6.25e-08,0,0,0
36036,0.134125,0,0.000125,6.25e-08,0,0,0
36037,0.134375,0,0.000125,6.25e-08,0,0,0
36038,0.134625,0,0.000125,6.25e-08,0,0,0
36039,0.134875,0,0.000125,6.25e-08,0,0,0
36040,0.135125,0,0.000125,6.25e-08,0,0,0
36041,0.135375,0,0.000125,6.25e-08,0,0,0
36042,0.135625,0,0.000125,6.25e-08,0,0,0
36043,0.135875,0,0.000125,6.25e-08,0,0,0
36044,0.136125,0,0.000125,6.25e-08,0,0,0
36045,0.136375,0,0.000125,6.25e-08,0,0,0
36046,0.136625,0,0.000125,6.25e-08,0,0,0
36047,0.136875,0,0.000125,6.25e-08,0,0,0
36048,0.137125,0,0.000125,6.25e-08,0,0,0
36049,0.137375,0,0.000125,6.25e-08,0,0,0
36050,0.137625,0,0.000125,6.25e-08,0,0,0
36051,0.137875,0,0.000125,6.25e-08,0,0,0
36052,0.138125,0,0.000125,6.25e-08,0,0,0
36053,0.138375,0,0.000125,6.25e-08,0,0,0
36054,0.138625,0,0.000125,6.25e-08,0,0,0
36055,0.138875,0,0.000125,6.25e-08,0,0,0
36056,0.139125,0,0.000125,6.25e-08,0,0,0
36057,0.139375,0,0.000125,6.25e-08,0,0,0
36058,0.139625,0,0.000125,6.25e-08,0,0,0
36059,0.139875,0,0.000125,6.25e-08,0,0,0
36060,0.140125,0,0.000125,6.25e-08,0,0,0
36061,0.140375,0,0.000125,6.25e-08,0,0,0
36062,0.140625,0,0.000125,6.25e-08,0,0,0
36063,0.140875,0,0.000125,6.25e-08,0,0,0
36064,0.141125,0,0.000125,6.25e-08,0,0,0
36065,0.141375,0,0.000125,6.25e-08,0,0,0
36066,0.141625,0,0.000125,6.25e-08,0,0,0
36067,0.141875,0,0.000125,6.25e-08,0,0,0
36068,0.142125,0,0.000125,6.25e-08,0,0,0
36069,0.142375,0,0.000125,6.25e-08,0,0,0
36070,0.142625,0,0.000125,6.25e-08,0,0,0
36071,0.142875,0,0.000125,6.25e-08,0,0,0
36072,0.143125,0,0.000125,6.25e-08,0,0,0
36073,0.143375,0,0.000125,6.25e-08,0,0,0
36074,0.143625,0,0.000125,6.25e-08,0,0,0
36075,0.143875,0,0.000125,6.25e-08,0,0,0
36076,0.144125,0,0.000125,6.25e-08,0,0,0
36077,0.144375,0,0.000125,6.25e-08,0,0,0
36078,0.144625,0,0.000125,6.25e-08,0,0,0
36079,0.144875,0,0.000125,6.25e-08,0,0,0
36080,0.145125,0,0.000125,6.25e-08,0,0,0
36081,0.145375,0,0.000125,6.25e-08,0,0,0
36082,0.145625,0,0.000125,6.25e-08,0,0,0
36083,0.145875,0,0.000125,6.25e-08,0,0,0
36084,0.146125,0,0.000125,6.25e-08,0,0,0
36085,0.146375,0,0.000125,6.25e-08,0,0,0
36086,0.146625,0,0.000125,6.25e-08,0,0,0
36087,0.146875,0,0.000125,6.25e-08,0,0,0
36088,0.147125,0,0.000125,6.25e-08,0,0,0
36089,0.147375,0,0.000125,6.25e-08,0,0,0
36090,0.147625,0,0.000125,6.25e-08,0,0,0
36091,0.147875,0,0.000125,6.25e-08,0,0,0
36092,0.148125,0,0.000125,6.25e-08,0,0,0
36093,0.148375,0,0.000125,6.25e-08,0,0,0
36094,0.148625,0,0.000125,6.25e-08,0,0,0
36095,0.148875,0,0.000125,6.25e-08,0,0,0
36096,0.149125,0,0.000125,6.25e-08,0,0,0
36097,0.149375,0,0.000125,6.25e-08,0,0,0
36098,0.149625,0,0.000125,6.25e-08,0,0,0
36099,0.149875,0,0.000125,6.25e-08,0,0,0
3900,0.000125,0.01,0.000125,6.25e-08,0,0,0
3901,0.000375,0.01,0.000125,6.25e-08,0,0,0
3902,0.000625,0.01,0.000125,6.25e-08,0,0,0
3903,0.000875,0.01,0.000125,6.25e-08,0,0,0
3904,0.001125,0.01,0.000125,6.25e-08,0,0,0
3905,0.001375,0.01,0.000125,6.25e-08,0,0,0
3906,0.001625,0.01,0.000125,6.25e-08,0,0,0
3907,0.001875,0.01,0.000125,6.25e-08,0,0,0
3908,0.002125,0.01,0.000125,6.25e-08,0,0,0
3909,0.002375,0.01,0.000125,6.25e-08,0,0,0
3910,0.002625,0.01,0.000125,6.25e-08,0,0,0
3911,0.002875,0.01,0.000125,6.25e-08,0,0,0
3912,0.003125,0.01,0.000125,6.25e-08,0,0,0
3913,0.003375,0.01,0.000125,6.25e-08,0,0,0
3914,0.003625,0.01,0.000125,6.25e-08,0,0,0
